brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,seats,selling_price
Maruti,Maruti Alto,9,120000,Individual,Petrol,Manual,19.7,796,46.3,5,1.2
Hyundai,Hyundai Grand,5,20000,Individual,Petrol,Manual,18.9,1197,82.0,5,5.5
Hyundai,Hyundai i20,11,60000,Individual,Petrol,Manual,17.0,1197,80.0,5,2.15
Maruti,Maruti Alto,9,37000,Individual,Petrol,Manual,20.92,998,67.1,5,2.26
Ford,Ford Ecosport,6,30000,Dealer,Diesel,Manual,22.77,1498,98.59,5,5.7
Maruti,Maruti Wagon R,8,35000,Individual,Petrol,Manual,18.9,998,67.1,5,3.5
Hyundai,Hyundai i10,8,40000,Dealer,Petrol,Manual,20.36,1197,78.9,5,3.15
Maruti,Maruti Wagon R,3,17512,Dealer,Petrol,Manual,20.51,998,67.04,5,4.1
Hyundai,Hyundai Venue,2,20000,Individual,Petrol,Automatic,18.15,998,118.35,5,10.5
Maruti,Maruti Swift,4,28321,Dealer,Petrol,Manual,16.6,1197,85.0,5,5.11
Hyundai,Hyundai Verna,8,65278,Dealer,Diesel,Manual,22.32,1582,126.32,5,4.25
Renault,Renault Duster,5,50000,Individual,Diesel,Manual,19.64,1461,108.45,5,7.5
Mini,Mini Cooper,4,6000,Dealer,Petrol,Automatic,14.41,1998,189.08,5,32.5
Maruti,Maruti Ciaz,5,76000,Dealer,Diesel,Manual,28.09,1248,88.5,5,6.5
Maruti,Maruti Swift,5,20000,Individual,Diesel,Manual,25.2,1248,74.0,5,6.27
Mercedes-Benz,Mercedes-Benz C-Class,7,65000,Dealer,Diesel,Automatic,19.27,2143,170.0,5,14.25
Maruti,Maruti Swift,7,62200,Dealer,Diesel,Manual,28.4,1248,74.0,5,4.25
Toyota,Toyota Innova,8,110000,Individual,Diesel,Manual,12.99,2494,100.6,8,6.05
Maruti,Maruti Baleno,6,20000,Individual,Petrol,Manual,21.4,1197,83.1,5,6.0
Maruti,Maruti Swift Dzire,5,40000,Individual,Petrol,Manual,20.85,1197,83.14,5,5.75
Volkswagen,Volkswagen Vento,8,47000,Dealer,Petrol,Manual,16.09,1598,103.2,5,4.25
Maruti,Maruti Alto,8,25000,Dealer,Petrol,Manual,20.92,998,67.1,5,2.3
Hyundai,Hyundai Creta,2,15000,Individual,Diesel,Manual,19.67,1582,126.2,5,12.25
Honda,Honda City,6,50000,Individual,Petrol,Manual,17.4,1497,117.3,5,7.5
Mahindra,Mahindra Bolero,10,25000,Individual,Diesel,Manual,13.6,2523,63.0,7,3.5
Maruti,Maruti Swift Dzire,6,90000,Individual,Diesel,Manual,26.59,1248,74.0,5,6.0
Maruti,Maruti Swift Dzire,8,45000,Dealer,Diesel,Manual,26.59,1248,74.0,5,3.9
Honda,Honda City,14,77253,Dealer,Petrol,Manual,17.7,1497,78.0,5,1.45
Hyundai,Hyundai i20,3,25000,Individual,Petrol,Manual,17.19,1197,81.86,5,7.0
Toyota,Toyota Fortuner,8,110000,Individual,Diesel,Manual,13.0,2982,168.5,7,11.5
Renault,Renault KWID,4,30000,Individual,Petrol,Manual,23.01,999,67.0,5,3.4
Honda,Honda Amaze,5,39993,Dealer,Petrol,Manual,18.6,1199,88.76,5,4.65
Hyundai,Hyundai Santro,12,80000,Individual,Petrol,Manual,17.92,1086,62.1,5,1.25
Mahindra,Mahindra XUV500,9,185000,Individual,Diesel,Manual,15.1,2179,140.0,7,6.0
Maruti,Maruti Swift Dzire,8,90000,Individual,Diesel,Manual,23.4,1248,74.0,5,3.8
Hyundai,Hyundai i20,3,15000,Individual,Diesel,Manual,22.54,1396,88.73,5,8.5
Hyundai,Hyundai i20,3,40000,Individual,Petrol,Manual,18.6,1197,81.83,5,5.98
Honda,Honda City,6,31180,Dealer,Petrol,Automatic,18.0,1497,117.3,5,7.0
Maruti,Maruti Swift Dzire,7,56000,Dealer,Diesel,Manual,23.4,1248,74.0,5,4.1
